Laptop_ID,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price (LKR),Region
LNK-0016,Acer Aspire 5,New,Acer,Aspire 5,Intel Core Ultra 5 125H,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"14.0"" FHD",No,185500,Kandy
LNK-0017,Dell XPS 13,Used,Dell,XPS 13,AMD Ryzen 9 7945HX,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,512500,Colombo
LNK-0018,Lenovo Yoga 7i,Refurbished,Lenovo,Yoga 7i,AMD Ryzen 5 7640HS,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",Yes,201500,Kurunegala
LNK-0019,HP Spectre x360,New,HP,Spectre x360,Intel Core Ultra 5 125H,16GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",Yes,214000,Kurunegala
LNK-0020,ASUS TUF Gaming A15,New,ASUS,TUF Gaming A15,Intel Core Ultra 5 125H,32GB,2TB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,318000,Kandy
LNK-0021,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,AMD Ryzen 9 7945HX,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" FHD",No,551500,Colombo
LNK-0022,MSI Prestige 14,Used,MSI,Prestige 14,Intel Core i5-1235U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,72000,Colombo
LNK-0023,Lenovo ThinkPad E14,Used,Lenovo,ThinkPad E14,AMD Ryzen 7 7840HS,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"15.6"" FHD 144Hz",No,224000,Colombo
LNK-0024,HP Victus 16,Used,HP,Victus 16,Intel Core i7-13620H,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"15.6"" FHD 60Hz",No,142500,Jaffna
LNK-0025,Lenovo Legion 5 Pro,New,Lenovo,Legion 5 Pro,Intel Core i7-14700HX,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4080,"15.6"" FHD 144Hz",No,627000,Kandy
LNK-0026,Acer Predator Helios 16,Used,Acer,Predator Helios 16,AMD Ryzen 9 7945HX,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"15.6"" FHD 60Hz",No,350500,Colombo
LNK-0027,Samsung Galaxy Book3,Used,Samsung,Galaxy Book3,AMD Ryzen 5 5500U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",No,81000,Colombo
LNK-0028,Dell Inspiron 15,Used,Dell,Inspiron 15,Intel Core i5-13420H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,84000,Colombo
LNK-0029,HP OMEN 16,New,HP,OMEN 16,Intel Core i5-1235U,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,200000,Colombo
LNK-0030,Apple MacBook Air M2,Refurbished,Apple,MacBook Air M2,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"16.0"" WQXGA 165Hz",No,283500,Negombo
LNK-0031,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,Intel Core i3-1215U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,178500,Galle
LNK-0032,Apple MacBook Air M1,New,Apple,MacBook Air M1,Apple M3 (8-core),16GB,256GB,SSD NVMe,Apple M3 Integrated,"14.0"" QHD 120Hz",No,373500,Kandy
LNK-0033,Acer Swift Go 14,Used,Acer,Swift Go 14,Intel Core i3-1215U,32GB,256GB,SSD NVMe,AMD Radeon Graphics,"14.0"" FHD",No,79500,Jaffna
LNK-0034,Dell XPS 15,Refurbished,Dell,XPS 15,Intel Core i9-14900HX,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4090,"15.6"" FHD 144Hz",No,601000,Colombo
LNK-0035,ASUS ZenBook 14,Used,ASUS,ZenBook 14,AMD Ryzen 7 7730U,32GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,129000,Anuradhapura
LNK-0036,Acer Aspire 5,Used,Acer,Aspire 5,AMD Ryzen 7 7840HS,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"14.0"" FHD",No,201000,Kurunegala
LNK-0037,Dell Latitude 3540,New,Dell,Latitude 3540,AMD Ryzen 5 7520U,16GB,2TB,SSD NVMe,Intel Graphics,"13.3"" FHD",No,244500,Kurunegala
LNK-0038,ASUS TUF Gaming A15,New,ASUS,TUF Gaming A15,Intel Core Ultra 5 125H,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" UHD+ OLED",No,272000,Anuradhapura
LNK-0039,Lenovo ThinkPad E14,New,Lenovo,ThinkPad E14,AMD Ryzen 7 7730U,8GB,512GB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,259000,Kurunegala
LNK-0040,Lenovo ThinkPad X1 Carbon,New,Lenovo,ThinkPad X1 Carbon,Intel Core i7-13620H,64GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,298500,Galle
LNK-0041,Apple MacBook Air M3,New,Apple,MacBook Air M3,Apple M2 (8-core),8GB,256GB,SSD NVMe,Apple M2 Integrated,"14.0"" QHD 120Hz",No,267000,Colombo
LNK-0042,HP EliteBook 840,Refurbished,HP,EliteBook 840,AMD Ryzen 5 7520U,64GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" FHD",No,192500,Anuradhapura
LNK-0043,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,Intel Core i7-13620H,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",Yes,551500,Colombo
LNK-0044,Microsoft Surface Laptop 5,Refurbished,Microsoft,Surface Laptop 5,Intel Core i5-1235U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,174000,Colombo
LNK-0045,Apple MacBook Pro M3 Max,Refurbished,Apple,MacBook Pro M3 Max,Apple M1 (8-core),16GB,512GB,SSD NVMe,Apple M1 Integrated,"16.0"" WQXGA 165Hz",No,184500,Negombo
LNK-0046,MSI Raider GE78,Refurbished,MSI,Raider GE78,Intel Core i7-13700H,16GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,199500,Colombo
LNK-0047,Samsung Galaxy Book3,Refurbished,Samsung,Galaxy Book3,AMD Ryzen 3 7320U,16GB,2TB,eMMC,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,137000,Negombo
LNK-0048,Lenovo LOQ 15,Refurbished,Lenovo,LOQ 15,Intel Core i7-14700HX,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" WQXGA 165Hz",Yes,571500,Colombo
LNK-0049,Lenovo ThinkPad E14,New,Lenovo,ThinkPad E14,Intel Core i3-1215U,8GB,512GB,SSD SATA,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,116500,Colombo
LNK-0050,Microsoft Surface Laptop 5,Used,Microsoft,Surface Laptop 5,AMD Ryzen 5 7640HS,64GB,2TB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",Yes,192500,Kandy
LNK-0051,HP EliteBook 840,Refurbished,HP,EliteBook 840,Intel Core Ultra 5 125H,16GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,193500,Jaffna
LNK-0052,Dell Alienware m16,Refurbished,Dell,Alienware m16,AMD Ryzen 5 5500U,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",No,237500,Colombo
LNK-0053,Gigabyte Aorus 15,Refurbished,Gigabyte,Aorus 15,Intel Core Ultra 5 125H,32GB,2TB,SSD NVMe,Intel Graphics,"15.6"" FHD 144Hz",No,232500,Jaffna
LNK-0054,Lenovo ThinkPad X1 Carbon,Refurbished,Lenovo,ThinkPad X1 Carbon,AMD Ryzen 5 5500U,8GB,512GB,SSD NVMe,Intel Graphics,"15.6"" FHD 60Hz",No,109500,Kurunegala
LNK-0055,Lenovo IdeaPad Slim 3,Refurbished,Lenovo,IdeaPad Slim 3,AMD Ryzen 7 7730U,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 2050,"13.3"" FHD",No,222000,Kandy
LNK-0056,Microsoft Surface Laptop Studio 2,New,Microsoft,Surface Laptop Studio 2,AMD Ryzen 5 7640HS,64GB,256GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",No,248000,Kandy
LNK-0057,MSI Modern 14,Used,MSI,Modern 14,Intel Core Ultra 5 125H,64GB,512GB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,183500,Colombo
LNK-0058,MSI Raider GE78,New,MSI,Raider GE78,AMD Ryzen 7 7840HS,16GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",No,193000,Kandy
LNK-0059,Gigabyte G5 KF,New,Gigabyte,G5 KF,Intel Core Ultra 7 155H,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4060,"17.3"" QHD 240Hz",No,533000,Colombo
LNK-0060,MSI Katana 17,Refurbished,MSI,Katana 17,Intel Core Ultra 7 155H,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4050,"13.3"" FHD",No,307000,Kandy
LNK-0061,HP EliteBook 840,Used,HP,EliteBook 840,Intel Core i5-1235U,8GB,512GB,SSD NVMe,Intel Graphics,"13.3"" FHD",No,81500,Jaffna
LNK-0062,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,Intel Core i9-14900HX,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" QHD 120Hz",No,775500,Colombo
LNK-0063,HP EliteBook 840,New,HP,EliteBook 840,AMD Ryzen 3 7320U,8GB,256GB,SSD SATA,NVIDIA GeForce RTX 3050,"16.0"" UHD+ OLED",No,144500,Anuradhapura
LNK-0064,HP OMEN 16,Used,HP,OMEN 16,Intel Core Ultra 5 125H,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,120500,Jaffna
LNK-0065,ASUS TUF Gaming A15,Used,ASUS,TUF Gaming A15,AMD Ryzen 7 7730U,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,133000,Anuradhapura
LNK-0066,HP Victus 16,Refurbished,HP,Victus 16,AMD Ryzen 7 7840HS,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"15.6"" FHD 144Hz",No,308000,Colombo
LNK-0067,Gigabyte Aorus 15,Refurbished,Gigabyte,Aorus 15,Intel Core Ultra 7 155H,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4050,"15.6"" FHD 144Hz",No,294500,Negombo
LNK-0068,Gigabyte Aero 14 OLED,Used,Gigabyte,Aero 14 OLED,AMD Ryzen 5 7640HS,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,97000,Anuradhapura
LNK-0069,Acer Nitro V 15,Refurbished,Acer,Nitro V 15,Intel Core Ultra 7 155H,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4050,"15.6"" FHD 60Hz",No,273000,Galle
LNK-0070,Lenovo Yoga 7i,Refurbished,Lenovo,Yoga 7i,AMD Ryzen 9 7945HX,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 144Hz",Yes,424500,Colombo
LNK-0071,Lenovo ThinkPad X1 Carbon,Used,Lenovo,ThinkPad X1 Carbon,AMD Ryzen 5 7520U,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,145500,Jaffna
LNK-0072,Acer Nitro V 15,New,Acer,Nitro V 15,Intel Core i7-13620H,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4050,"14.0"" QHD 120Hz",No,323500,Kandy
LNK-0073,Acer TravelMate P2,Used,Acer,TravelMate P2,AMD Ryzen 3 7320U,8GB,512GB,SSD SATA,Intel Graphics,"16.0"" WQXGA 165Hz",No,55500,Jaffna
LNK-0074,Samsung Galaxy Book3,Refurbished,Samsung,Galaxy Book3,Intel Core i5-1235U,8GB,1TB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",Yes,149500,Kandy
LNK-0075,Gigabyte Aorus 15,Refurbished,Gigabyte,Aorus 15,AMD Ryzen 5 5500U,16GB,256GB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",Yes,136500,Kurunegala
LNK-0076,HP OMEN 16,Used,HP,OMEN 16,Intel Core i5-1235U,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",Yes,103000,Kurunegala
LNK-0077,MSI Modern 14,Used,MSI,Modern 14,Intel Core Ultra 5 125H,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 144Hz",No,207500,Kandy
LNK-0078,Acer Swift Go 14,Used,Acer,Swift Go 14,Intel Core i5-1235U,8GB,512GB,SSD NVMe,Intel Graphics,"15.6"" FHD 144Hz",No,80500,Jaffna
LNK-0079,Dell Latitude 3540,New,Dell,Latitude 3540,Intel Core i7-14700HX,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4080,"17.3"" QHD 240Hz",No,550000,Colombo
LNK-0080,Acer TravelMate P2,Refurbished,Acer,TravelMate P2,Intel Core i5-13420H,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,145000,Anuradhapura
LNK-0081,Dell XPS 15,New,Dell,XPS 15,Intel Core i5-13420H,8GB,512GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",No,154000,Kandy
LNK-0082,Acer TravelMate P2,Refurbished,Acer,TravelMate P2,Intel Core Ultra 7 155H,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4050,"13.3"" FHD",No,400500,Kandy
LNK-0083,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,Intel Core i5-13420H,16GB,256GB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",Yes,184000,Colombo
LNK-0084,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,AMD Ryzen 7 7730U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,271500,Kandy
LNK-0085,HP EliteBook 840,New,HP,EliteBook 840,AMD Ryzen 5 5500U,64GB,2TB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,352500,Kandy
LNK-0086,Gigabyte G5 KF,Refurbished,Gigabyte,G5 KF,Intel Core Ultra 7 155H,32GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",No,241500,Kurunegala
LNK-0087,MSI Thin 15,New,MSI,Thin 15,AMD Ryzen 5 7520U,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,286500,Colombo
LNK-0088,Acer Predator Helios 16,Used,Acer,Predator Helios 16,AMD Ryzen 9 7945HX,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"15.6"" FHD 60Hz",No,413000,Colombo
LNK-0089,ASUS ROG Zephyrus G14,Refurbished,ASUS,ROG Zephyrus G14,Intel Core i5-13420H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"14.0"" FHD",No,113000,Colombo
LNK-0090,Acer Swift Go 14,Used,Acer,Swift Go 14,Intel Core Ultra 7 155H,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,228000,Kurunegala
LNK-0091,Lenovo LOQ 15,Used,Lenovo,LOQ 15,Intel Core i7-13700H,8GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,119000,Negombo
LNK-0092,ASUS TUF Gaming A15,Used,ASUS,TUF Gaming A15,AMD Ryzen 3 7320U,64GB,512GB,SSD SATA,NVIDIA GeForce RTX 3050,"17.3"" QHD 240Hz",No,113500,Negombo
LNK-0093,Samsung Galaxy Book4 Pro,Refurbished,Samsung,Galaxy Book4 Pro,AMD Ryzen 5 5500U,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" UHD+ OLED",No,172000,Kandy
LNK-0094,ASUS TUF Gaming A15,Used,ASUS,TUF Gaming A15,AMD Ryzen 9 7945HX,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",No,478500,Colombo
LNK-0095,Samsung Galaxy Book4 Ultra,Refurbished,Samsung,Galaxy Book4 Ultra,Intel Core i7-13620H,64GB,256GB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",Yes,225000,Kandy
LNK-0096,Dell Inspiron 15,Refurbished,Dell,Inspiron 15,Intel Core Ultra 7 155H,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4050,"16.0"" WQXGA 165Hz",No,368500,Colombo
LNK-0097,MSI Katana 17,Used,MSI,Katana 17,AMD Ryzen 9 7945HX,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 144Hz",No,260000,Colombo
LNK-0098,MSI Thin 15,Used,MSI,Thin 15,Intel Core i7-13620H,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"13.3"" FHD",Yes,265500,Colombo
LNK-0099,Apple MacBook Pro M2 Pro,New,Apple,MacBook Pro M2 Pro,Apple M2 (8-core),16GB,256GB,SSD NVMe,Apple M2 Integrated,"13.3"" FHD",No,279500,Colombo
LNK-0100,Microsoft Surface Pro 9,Used,Microsoft,Surface Pro 9,Intel Core Ultra 5 125H,64GB,512GB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",No,161000,Colombo
LNK-0101,ASUS Vivobook 15,Refurbished,ASUS,Vivobook 15,Intel Core i7-14700HX,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4080,"15.6"" FHD 144Hz",No,426000,Colombo
LNK-0102,Acer Predator Helios 16,Refurbished,Acer,Predator Helios 16,Intel Core i9-14900HX,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",No,454500,Colombo
LNK-0103,Acer TravelMate P2,Refurbished,Acer,TravelMate P2,Intel Core i3-1215U,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"13.3"" FHD",No,173000,Anuradhapura
LNK-0104,Acer Aspire 5,Used,Acer,Aspire 5,AMD Ryzen 5 7520U,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,99500,Negombo
LNK-0105,Dell Vostro 3520,New,Dell,Vostro 3520,Intel Core i5-1235U,32GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,238000,Colombo
LNK-0106,Acer Nitro V 15,Used,Acer,Nitro V 15,AMD Ryzen 7 7730U,16GB,512GB,SSD NVMe,Intel Graphics,"16.0"" WQXGA 165Hz",No,129000,Colombo
LNK-0107,Dell XPS 15,Refurbished,Dell,XPS 15,AMD Ryzen 3 7320U,32GB,256GB,SSD SATA,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,100000,Anuradhapura
LNK-0108,MSI Modern 14,Refurbished,MSI,Modern 14,Intel Core i5-13420H,64GB,256GB,SSD NVMe,AMD Radeon Graphics,"14.0"" FHD",No,181000,Colombo
LNK-0109,Acer Swift Go 14,Refurbished,Acer,Swift Go 14,AMD Ryzen 5 7520U,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"13.3"" FHD",No,124000,Colombo
LNK-0110,Apple MacBook Pro M3 Max,New,Apple,MacBook Pro M3 Max,Apple M1 (8-core),16GB,512GB,SSD NVMe,Apple M1 Integrated,"16.0"" WQXGA 165Hz",No,246000,Colombo
LNK-0111,Dell Inspiron 15,New,Dell,Inspiron 15,AMD Ryzen 3 7320U,64GB,256GB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,186000,Anuradhapura
LNK-0112,Samsung Galaxy Book4 Pro,Used,Samsung,Galaxy Book4 Pro,Intel Core i7-13700H,64GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,172000,Negombo
LNK-0113,Apple MacBook Air M2,Refurbished,Apple,MacBook Air M2,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"14.0"" QHD 120Hz",No,259500,Negombo
LNK-0114,Apple MacBook Pro M3 Max,Used,Apple,MacBook Pro M3 Max,Apple M3 (8-core),8GB,512GB,SSD NVMe,Apple M3 Integrated,"14.0"" QHD 120Hz",No,182500,Colombo
LNK-0115,HP EliteBook 840,Refurbished,HP,EliteBook 840,Intel Core i5-13420H,16GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,112500,Galle
LNK-0116,Microsoft Surface Laptop 5,New,Microsoft,Surface Laptop 5,Intel Core i9-14900HX,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" QHD 120Hz",Yes,631500,Negombo
LNK-0117,Dell XPS 13,Used,Dell,XPS 13,Intel Core Ultra 7 155H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"14.0"" QHD 120Hz",Yes,220000,Colombo
LNK-0118,ASUS ROG Strix G16,Refurbished,ASUS,ROG Strix G16,Intel Core i5-1235U,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,171500,Galle
LNK-0119,Apple MacBook Pro M3 Max,Used,Apple,MacBook Pro M3 Max,Apple M1 (8-core),16GB,256GB,SSD NVMe,Apple M1 Integrated,"16.0"" WQXGA 165Hz",No,119500,Colombo
LNK-0120,Samsung Galaxy Book4 Pro,Refurbished,Samsung,Galaxy Book4 Pro,Intel Core i3-1215U,8GB,2TB,SSD SATA,NVIDIA GeForce RTX 2050,"14.0"" FHD",No,131500,Kandy
LNK-0121,HP Pavilion 15,Refurbished,HP,Pavilion 15,Intel Core i7-13700H,8GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" WQXGA 165Hz",No,289000,Anuradhapura
LNK-0122,Acer Predator Helios 16,Used,Acer,Predator Helios 16,AMD Ryzen 7 7730U,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,108000,Kandy
LNK-0123,MSI Katana 17,Refurbished,MSI,Katana 17,AMD Ryzen 5 7640HS,64GB,256GB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,201500,Colombo
LNK-0124,Dell Vostro 3520,Refurbished,Dell,Vostro 3520,Intel Core i5-13420H,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,145500,Jaffna
LNK-0125,Samsung Galaxy Book3,Used,Samsung,Galaxy Book3,AMD Ryzen 5 5500U,8GB,2TB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,145000,Colombo
LNK-0126,Acer Swift Go 14,Refurbished,Acer,Swift Go 14,AMD Ryzen 5 7520U,8GB,512GB,SSD NVMe,Intel Graphics,"17.3"" QHD 240Hz",No,108500,Jaffna
LNK-0127,Samsung Galaxy Book4 Pro,New,Samsung,Galaxy Book4 Pro,Intel Core Ultra 7 155H,16GB,2TB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",No,374000,Kandy
LNK-0128,Acer Aspire 3,New,Acer,Aspire 3,Intel Core Ultra 7 155H,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"13.3"" FHD",No,501500,Colombo
LNK-0129,MSI Thin 15,New,MSI,Thin 15,Intel Core i3-1215U,8GB,512GB,SSD SATA,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,107500,Colombo
LNK-0130,Apple MacBook Pro M3 Max,Used,Apple,MacBook Pro M3 Max,Apple M1 (8-core),8GB,256GB,SSD NVMe,Apple M1 Integrated,"13.3"" FHD",No,123000,Negombo
LNK-0131,ASUS ExpertBook B1,New,ASUS,ExpertBook B1,Intel Core Ultra 7 155H,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,419500,Colombo
